sampleID,pit,depth,wet_soil_g,wet_dry,dry_soil_g,vol_cm3,BD_g_cm3,AP,BG,NAG,Tot_C_g,gC_cm3soil,Tot_N_g,gN_cm3soil,soil_CN,Nit_ug_gsoil_day,Min_ug_gsoil_day,froot_g_cm3soil,root_CN,Tot_LF_g,Tot_POM_g,Tot_MAOM_g,LF_C_g,POM_C_g,MAOM_C_g,LHPOM_C_g,MAOC_POC,Frac_C_g,gPOC_cm3soil,gMAOC_cm3soil,R_mmol_nosub,R_mmol_sub,MAOM_13C_mmol,MAOM_13Cprop,MAOC_change_mmol
13,3,30 to 50,79158.1584,0.852882704,67512.62416,60000,1.125210403,0.150193225,0.125082901,0.01835867,1225.393763,0.020423229,104.2253029,0.001737088,11.75716192,0.150978199,0.157320447,0.000196667,92.45205479,488.2489543,3552.011143,63472.36407,103.5087783,16.69304161,989.5341558,120.2018199,8.232272659,1109.735976,0.002003364,0.016492236,0.002272534,0.000640604,0.176106844,0.007315925,-2.485402166
14,4,30 to 50,93955.362,0.494117647,46425.0024,60000,0.77375004,0.25322613,0.221329898,0.025771096,921.7414022,0.015362357,76.42149987,0.001273692,12.06128385,0.167006996,-0.040623939,0.000370333,100.323741,1234.597832,5927.272403,39263.13217,46.79125783,23.11636237,773.4837037,69.9076202,11.06436897,843.3913239,0.001165127,0.012891395,0.007125968,0.002470626,0.13959206,0.008458534,-0.593642855
15,5,30 to 50,104220.81,0.84939759,88524.90488,60000,1.475415081,0.053911522,0.12772498,0.003882919,1410.113601,0.023501893,109.4121832,0.001823536,12.88808576,-0.066170609,-0.246468599,0.0004215,103.443609,3680.702178,16290.48354,68553.71916,870.117995,32.58096708,1350.508267,902.6989621,1.496078232,2253.20723,0.015044983,0.022508471,0.003782013,0.001158299,0.165937864,0.008964728,-7.001517773
16,1,50 to 70,87287.746,0.704,61450.57318,75000,0.819340976,0.029567727,0.07071916,0.000966826,504.7140411,0.006729521,45.6782594,0.000609043,11.04932735,-0.006363389,0.043673168,0.0000604,87.05660377,246.9187951,6452.095472,54751.55892,0,11.14934278,353.147555,11.14934278,31.67429345,364.2968978,0.000148658,0.004708634,0.003667791,0.001743359,0.188137406,0.020228088,0.31720613
17,2,50 to 70,56187.778,0.829365079,46600.18096,75000,0.621335746,0.121874206,0.08036671,0.004862681,562.4711697,0.007499616,49.09112766,0.000654548,11.45769504,0.118274237,0.175696152,0.000225867,98.52554745,160.0856863,3674.347656,42765.74762,0,17.02248423,378.0492089,17.02248423,22.20881534,395.0716932,0.000226966,0.005040656,0.003271467,0.000865082,0.210940768,0.014260343,-0.499275506
18,3,50 to 70,103252.892,0.847389558,87495.42254,75000,1.166605634,0.083809255,0.071115725,0.004673545,550.524978,0.007340333,55.54009375,0.000740535,9.912208296,-0.065485291,-0.038288771,0.000268667,90.09655172,283.3980614,3982.488547,83229.53593,0,9.865052342,461.9239244,9.865052342,46.82427507,471.7889768,0.000131534,0.006158986,0.003291993,0.000527108,0.275138543,0.02493068,1.102987143
19,4,50 to 70,103107.016,0.483234714,49824.88939,75000,0.664331859,0.153054263,0.16670025,0.006047125,431.1693586,0.005748925,39.98995328,0.000533199,10.78194205,0.158235311,-0.196765287,0.000160667,102.0875912,264.1647975,1925.846588,47634.878,0,10.01996386,364.8831655,10.01996386,36.41561691,374.9031294,0.0001336,0.004865109,0.005528288,0.002487061,0.18363264,0.017588271,NA
20,5,50 to 70,66953.8992,0.861386139,57673.1607,75000,0.768975476,0.044319162,0.082645133,0.002097096,495.2293849,0.006603058,42.94047774,0.00057254,11.53292676,0.030011083,-0.082231319,0.000155333,114.0327869,388.8078249,5443.309549,51841.04332,0,190.1068979,1483.172249,190.1068979,7.801780292,1673.279147,0.002534759,0.01977563,0.004397501,0.001060301,0.183541318,0.014609233,NA
21,1,70 to 100,95243.246,0.654223969,62310.41438,75000,0.830805525,0.029650873,0.088473563,0.000892836,284.7585937,0.003796781,27.41658233,0.000365554,10.38636364,0.037719342,0.158480089,9.77E-05,69.94791667,327.3752069,10803.38183,51179.65734,0,9.719618944,253.8511004,9.719618944,26.11739224,263.5707194,0.000129595,0.003384681,0.004452259,0.001593024,0.082904137,0.015960374,-0.667997024
22,2,70 to 100,109195.71,0.876739563,95736.19903,75000,1.276482654,0.009708025,0.074934403,0.00227944,642.8024583,0.008570699,61.56793428,0.000820906,10.44053964,0.078537645,0.155627748,0.000132667,91.51351351,369.2490145,5572.303309,89794.6467,0,10.31545921,450.7691264,10.31545921,43.69840616,461.0845857,0.000137539,0.006010255,0.002872563,0.001085078,0.232666192,0.027924378,-1.186873381
23,3,70 to 100,69904.6064,0.844311377,59021.25451,75000,0.78695006,0.049535722,0.093545145,0.001081874,239.0176821,0.003186902,27.32508461,0.000364334,8.747189092,-0.061951882,-0.056504483,9.13E-05,97.20567376,247.7802456,3270.699242,55502.77502,0,5.213376551,214.7957393,5.213376551,41.20088722,220.0091159,6.95E-05,0.002863943,0.003926498,0.001087414,0.234278097,0.034706648,-0.283111386
24,4,70 to 100,110215.3784,0.496078431,54675.47203,75000,0.729006294,0.063138485,0.149861137,0.000765266,230.29386,0.003070585,25.35276669,0.000338037,9.083579037,0.138977033,-0.235112002,0.000134267,93.49324324,254.9193136,3342.275444,51078.27727,0,10.574287,255.9021691,10.574287,24.20041836,266.4764561,0.00014099,0.003412029,0.006005637,0.002191144,0.158078329,0.034022374,-0.482809296
25,5,70 to 100,104285.328,0.853174603,88973.59333,75000,1.186314578,0.029337448,0.107314777,0.001397828,446.1967817,0.00594929,45.65619118,0.000608749,9.772974271,0.02583451,-0.012783019,0.000126667,113.4032258,380.296748,6037.210874,82556.08571,0,17.80128321,474.6974928,17.80128321,26.66647607,492.4987761,0.00023735,0.0063293,0.004881973,0.001021748,0.199207861,0.02585968,-1.872442449
